Bia HN,Bia 333,Bia Hei,Bia Viet,Bia SG,Nguoi_thu
5,2,1,4,3,264
4,1,5,2,3,265
3,1,4,5,2,266
4,2,3,5,1,267
2,3,4,1,5,268
2,4,1,5,3,269
2,4,3,5,1,270
1,5,4,3,2,271
3,1,4,5,2,272
3,2,5,4,1,273
3,2,5,4,1,274
5,3,1,2,4,275
1,3,4,5,2,276
1,2,5,4,3,277
3,1,2,4,5,278
3,5,2,4,1,279
4,2,3,5,1,280
1,4,5,3,2,281
2,4,5,3,1,282
2,4,5,1,3,283
3,2,4,5,1,284
2,5,1,3,4,285
4,3,1,5,2,286
3,2,1,5,4,287
3,5,2,4,1,288
3,5,4,1,2,289
1,4,5,3,2,290
1,4,2,3,5,291
5,4,2,1,3,292
5,3,2,1,4,293
2,3,5,1,4,294
3,2,5,4,1,295
5,1,3,4,2,296
4,3,5,1,2,297
4,2,3,1,5,298
3,4,5,2,1,299
4,1,2,3,5,300
